decision_step,episode_id,action,phase,reward,state,queue_count,avg_wait,num_long_wait_60s,time_in_state
1,1,0,0,-2.6418981115023294,Green,0,0.0,0,2.600000000000001
2,1,0,0,-0.0,Yellow,0,0.0,0,0.1
3,1,0,0,-0.9330084880193075,Yellow,0,0.0,0,2.1000000000000005
4,1,0,0,-2.685546380281449,Red,0,0.0,0,0.9999999999999999
5,1,0,0,-5.657290168603262,Red,0,0.0,0,3.0000000000000013
6,1,1,1,-9.515263260735404,Red,0,0.0,0,4.999999999999998
7,1,1,1,-1.874441385269165,Red,0,0.0,0,6.999999999999991
8,1,1,1,-0.18682392835617065,Red,1,2.882265329360962,0,8.999999999999984
9,1,1,1,-2.7547948241233824,Red,0,10.589049339294434,0,10.999999999999977
10,1,1,1,-6.211120812098185,Red,0,24.520408153533936,0,12.99999999999997
11,1,1,1,-18.180602383613586,Red,0,46.88830614089966,0,14.999999999999963
12,1,1,1,-16.55771649301998,Red,4,20.98358624322074,1,16.99999999999997
13,1,0,0,-15.801102731029193,Green,0,72.98441171646118,1,2.0000000000000004
14,1,0,0,-25.524093675613404,Green,0,48.13661706447601,1,4.000000000000002
15,1,0,0,-22.5196458141009,Green,0,21.563963174819946,0,5.999999999999995
16,1,0,0,-9.787377909819286,Green,0,35.08249592781067,0,7.999999999999988
17,1,0,0,-16.306136723359426,Green,0,47.69473958015442,0,9.99999999999998
18,1,1,1,-19.961758621533715,Red,0,61.522751569747925,1,2.0000000000000004
19,1,1,1,-23.322016235192617,Red,0,73.64445734024048,1,4.000000000000002
20,1,1,1,-1.2705387274424236,Green,0,0.0,0,0.7999999999999999
21,1,1,1,-0.0,Green,0,0.0,0,2.800000000000001
22,1,1,1,-0.0,Green,0,0.0,0,4.799999999999999
23,1,1,1,-0.0,Green,0,0.0,0,6.799999999999992
24,1,1,1,-0.0,Green,0,0.0,0,8.799999999999985
25,1,1,1,-0.037442715962727864,Yellow,0,0.0,0,0.7999999999999999
26,1,1,1,-1.9248758514722188,Yellow,0,0.0,0,2.800000000000001
27,1,1,1,-7.174171441793442,Red,0,0.0,0,1.7000000000000004
28,1,1,1,-7.805431918303172,Red,0,0.0,0,3.700000000000002
29,1,1,1,-0.0,Red,0,0.0,0,5.699999999999996
30,1,1,1,-0.0,Red,0,0.0,0,7.699999999999989
31,1,1,1,-1.1558069096671209,Red,1,6.510601202646892,0,9.699999999999982
32,1,0,0,-4.414268216821882,Green,0,18.648287932078045,0,2.0000000000000004
33,1,0,0,-5.419243813128701,Green,2,12.456611939838954,0,4.000000000000002
34,1,0,0,-6.192079755919321,Green,0,26.48361825942993,0,5.999999999999995
35,1,0,0,-13.921228267086876,Green,0,44.69532918930054,0,7.999999999999988
36,1,0,0,-26.500337273213596,Green,0,58.21508240699768,1,9.99999999999998
37,1,1,1,-41.8767477452755,Red,0,83.7097373008728,1,2.0000000000000004
38,1,1,1,-32.841332987944284,Red,0,6.940964221954346,0,4.000000000000002
39,1,1,1,-23.261329504516386,Red,1,5.759915590286255,0,5.999999999999995
40,1,1,1,-26.28983257015546,Red,0,10.521895408630371,0,7.999999999999988
41,1,1,1,-10.871920462449392,Red,0,22.586845636367798,0,9.99999999999998
42,1,1,1,-15.097514645258586,Red,0,34.38034963607788,0,11.999999999999973
43,1,1,1,-22.408806232611337,Green,0,46.18880581855774,0,1.5000000000000002
44,1,1,1,-15.550158480803171,Green,0,49.393240451812744,0,3.5000000000000018
45,1,1,1,-18.86094616254171,Green,0,62.03846549987793,1,5.4999999999999964
46,1,1,1,-11.25598129828771,Green,0,0.0,0,7.499999999999989
47,1,1,1,-0.0,Green,0,0.0,0,9.499999999999982
48,1,1,1,-0.0,Yellow,0,0.0,0,1.5000000000000002
49,1,1,1,-1.686743974685669,Red,0,0.0,0,0.4
50,1,1,1,-3.9071364561716715,Red,0,0.0,0,2.400000000000001
51,1,1,1,-4.3106414675712585,Red,0,0.0,0,4.4
52,1,1,1,-8.474128198623657,Red,0,0.0,0,6.399999999999993
53,1,1,1,-1.6417823553085327,Red,0,0.0,0,8.399999999999986
54,1,1,1,-0.0,Red,0,0.0,0,10.399999999999979
55,1,1,1,-0.0,Red,0,0.0,0,12.399999999999972
56,1,1,1,-0.0,Red,0,0.0,0,14.399999999999965
57,1,1,1,-0.0,Red,0,0.0,0,16.399999999999963
58,1,1,1,-0.0,Red,0,0.0,0,18.39999999999999
59,1,1,1,-0.0,Red,0,0.0,0,20.40000000000002
60,1,1,1,-0.0,Red,0,0.0,0,22.40000000000005
61,1,1,1,-1.800761244694392,Red,0,10.73328959941864,0,24.400000000000077
62,1,1,1,-5.67634714047114,Red,0,22.961182832717896,0,26.400000000000105
63,1,1,1,-9.978960887591045,Red,0,35.647963762283325,0,28.400000000000134
64,1,1,1,-5.120929080115425,Red,4,13.534627795219421,0,30.400000000000162
65,1,0,0,-3.347526628441281,Green,0,0.0,0,2.0000000000000004
66,1,0,0,-0.0,Green,0,0.0,0,4.000000000000002
67,1,0,0,-0.0,Green,0,0.0,0,5.999999999999995
68,1,0,0,-1.433176690340042,Green,0,0.0,0,7.999999999999988
69,1,0,0,-7.947717554039425,Green,0,0.0,0,9.99999999999998
70,1,1,1,-12.503184769550957,Yellow,0,0.0,0,0.2
71,1,1,1,-18.71371182401975,Yellow,0,0.0,0,2.2000000000000006
72,1,1,1,-21.408253423372905,Red,0,5.078332185745239,0,1.0999999999999999
73,1,1,1,-18.612324321269988,Red,0,10.71243691444397,0,3.1000000000000014
74,1,1,1,-17.804196099440258,Red,0,22.14211082458496,0,5.099999999999998
75,1,1,1,-28.750704046090444,Red,0,39.12292408943176,0,7.099999999999991
76,1,1,1,-37.79940839211146,Red,0,51.037588119506836,0,9.099999999999984
77,1,1,1,-45.113479576508205,Red,1,31.237470984458923,1,11.099999999999977
78,1,0,0,-35.76201534337467,Green,1,7.350732405980428,0,2.0000000000000004
